floor_id,pool,encounter_id,enemy_count,total_hp,incoming_damage_per_turn,enemy_block_per_turn,enemy_heal_per_turn,stress_per_turn,energy_loss_per_turn,player_offense_penalty,maximum_turn_spike,projected_player_damage_per_turn,projected_player_block_per_turn,estimated_turns_to_kill,estimated_hp_loss,hp_loss_target_min,hp_loss_target_max,target_status,weight,min_layer,max_layer
floor1,combat,act1_rusted_mite,1,16.0,2.606,1.046,0.0,0.0,0.0,0.0,4.0,15.716,7.386,1.057,0.0,0.0,8.0,within,4,0,2
floor1,combat,act1_rat_cultist,1,22.0,0.0,1.946,0.0,1.541,0.0,0.1,0.0,14.145,7.386,1.683,0.0,0.0,8.0,within,4,0,4
floor1,combat,act1_grave_lamp,1,18.0,0.0,1.939,0.0,2.061,0.0,0.0,0.0,15.716,7.386,1.229,0.0,0.0,8.0,within,3,0,4
floor1,combat,act1_ash_hound,1,27.0,3.214,0.0,0.0,0.0,0.0,0.1,6.0,14.145,7.386,1.909,0.0,0.0,8.0,within,3,1,5
floor1,combat,act1_plague_spider,1,24.0,1.1,0.0,0.0,0.0,0.0,0.0,2.0,15.716,7.386,1.527,0.0,0.0,8.0,within,3,1,5
floor1,combat,act1_knife_acolyte,1,28.0,3.236,0.0,0.0,0.0,0.0,0.127,5.454,13.72,7.386,2.041,0.0,0.0,8.0,within,3,1,5
floor1,combat,act1_shield_bearer,1,34.0,4.043,0.0,0.0,0.0,0.0,0.0,6.278,15.716,7.386,2.163,0.0,0.0,8.0,within,2,2,5
floor1,combat,act1_mold_marksman,1,30.0,3.982,0.0,0.0,0.0,0.0,0.133,6.335,13.626,7.386,2.202,0.0,0.0,8.0,within,2,2,5
floor1,combat,act1_rust_taskmaster,1,42.0,4.603,3.424,0.0,0.0,0.0,0.0,7.0,15.716,7.386,3.036,0.0,0.0,8.0,within,1,4,5
floor1,combat,act1_rat_and_mite,2,38.0,2.61,2.984,0.0,1.544,0.0,0.1,4.0,14.145,7.386,3.039,0.0,0.0,8.0,within,2,1,5
floor1,combat,act1_lamp_and_mite,2,34.0,2.611,2.982,0.0,2.059,0.0,0.0,4.0,15.716,7.386,2.415,0.0,0.0,8.0,within,2,1,5
floor1,combat,act1_hound_and_rat,2,49.0,3.167,1.95,0.0,1.537,0.0,0.2,6.0,12.573,7.386,4.261,0.0,0.0,8.0,within,1,2,5
floor1,combat,act1_knife_and_spider,2,52.0,4.318,0.0,0.0,0.0,0.0,0.127,7.469,13.72,7.386,3.79,0.0,0.0,8.0,within,1,2,5
floor1,combat,act1_shield_and_lamp,2,52.0,2.831,4.325,0.0,2.054,0.0,0.0,5.647,15.716,7.386,3.899,0.0,0.0,8.0,within,1,3,5
floor1,combat,act1_mold_and_mite,2,46.0,6.599,1.044,0.0,0.0,0.0,0.133,10.336,13.626,7.386,3.524,0.0,0.0,8.0,within,1,3,5
floor1,combat,act1_ash_crow,1,20.0,3.088,0.0,0.0,2.512,0.0,0.1,4.0,14.145,7.386,1.414,0.0,0.0,8.0,within,3,0,4
floor1,combat,act1_lockjaw_husk,1,30.0,5.17,3.538,0.0,0.0,0.0,0.0,8.0,15.716,7.386,2.179,0.0,0.0,8.0,within,2,2,5
floor1,combat,act1_mold_shepherd,1,34.0,3.688,0.0,0.0,0.0,0.0,0.0,5.0,15.716,7.386,2.163,0.0,0.0,8.0,within,2,2,5
floor1,combat,act1_crow_and_mite,2,36.0,5.708,1.054,0.0,2.486,0.0,0.1,8.0,14.145,7.386,2.654,0.0,0.0,8.0,within,2,1,5
floor1,combat,act1_shepherd_and_lamp,2,52.0,2.962,3.861,0.0,2.066,0.0,0.0,5.973,15.716,7.386,3.826,0.0,0.0,8.0,within,1,3,5
floor1,combat,act1_lockjaw_and_rat,2,52.0,5.203,5.427,0.0,1.552,0.0,0.1,8.0,14.145,7.386,4.66,0.0,0.0,8.0,within,1,3,5
floor1,combat,act1_censer_imp,1,19.0,1.579,1.04,0.0,0.0,0.0,0.159,2.979,13.217,7.386,1.503,0.0,0.0,8.0,within,3,0,3
floor1,combat,act1_bone_debtor,1,26.0,1.498,0.0,0.0,0.0,0.499,0.0,3.0,14.775,6.944,1.76,0.0,0.0,8.0,within,3,1,5
floor1,combat,act1_wax_undertaker,1,38.0,4.003,2.238,2.238,0.0,0.0,0.0,7.204,15.716,7.386,2.941,0.0,0.0,8.0,within,2,3,5
floor1,combat,act1_chain_novice,1,31.0,0.0,3.527,0.0,0.0,0.496,0.0,0.0,14.781,6.947,2.414,0.0,0.0,8.0,within,2,2,5
floor1,combat,act1_grave_scribe,1,24.0,1.324,0.76,0.0,2.51,0.0,0.121,4.03,13.815,7.386,1.791,0.0,0.0,8.0,within,2,1,5
floor1,combat,act1_imp_and_mite,2,35.0,4.179,2.106,0.0,0.0,0.0,0.158,6.994,13.233,7.386,2.899,0.0,0.0,8.0,within,2,1,4
floor1,combat,act1_debtor_and_lamp,2,44.0,1.483,1.929,0.0,2.071,0.494,0.0,3.0,14.785,6.949,3.206,0.0,0.0,8.0,within,1,2,5
floor1,combat,act1_scribe_and_spider,2,48.0,1.756,2.182,0.0,1.973,0.0,0.098,4.79,14.176,7.386,3.699,0.0,0.0,8.0,within,1,2,5
floor1,combat,act1_chain_and_hound,2,58.0,3.199,3.543,0.0,0.0,0.494,0.1,6.0,13.306,6.949,5.107,0.0,0.0,8.0,within,1,3,5
floor1,combat,act1_undertaker_and_crow,2,58.0,7.107,2.272,2.272,2.474,0.0,0.1,11.262,14.145,7.386,5.131,0.0,0.0,8.0,within,1,4,5
floor1,combat,act1_cultist_pack,3,58.0,5.696,2.976,0.0,4.056,0.0,0.2,8.0,12.573,7.386,5.303,0.0,0.0,8.0,within,1,4,5
floor1,elite,act1_grave_knight,1,82.0,7.049,3.367,0.0,0.0,0.0,0.0,10.887,15.716,7.386,5.914,0.0,2.0,16.0,below,1,1,5
floor1,elite,act1_choir_executioner,1,70.0,6.686,1.829,0.0,2.144,0.0,0.094,15.755,14.239,7.386,5.29,0.0,2.0,16.0,below,1,1,5
floor1,elite,act1_glass_collector,1,64.0,4.392,3.383,0.0,1.64,0.0,0.08,6.0,14.459,7.386,5.08,0.0,2.0,16.0,below,1,1,5
floor1,elite,act1_reliquary_guard,1,88.0,9.372,1.932,0.0,0.0,0.0,0.034,16.21,15.182,7.386,6.233,12.375,2.0,16.0,within,1,2,6
floor1,elite,act1_carrion_matron,1,78.0,8.032,1.903,0.0,0.0,0.0,0.082,13.688,14.428,7.386,5.829,3.763,2.0,16.0,within,1,2,6
floor1,elite,act1_rust_tithe_collector,1,76.0,2.614,3.214,0.0,0.0,0.335,0.068,6.856,14.059,7.09,6.183,0.0,2.0,16.0,below,1,2,6
floor1,elite,act1_waxen_headsman,1,86.0,7.647,1.627,0.0,0.0,0.318,0.0,25.123,15.117,7.105,6.047,3.28,2.0,16.0,within,1,2,6
floor1,boss,act1_baron_of_ashes,1,145.0,11.095,3.597,0.0,2.2,0.0,0.109,18.056,14.003,7.386,12.058,44.718,6.0,24.0,above,1,7,7
floor1,boss,act1_rusted_bishop,1,132.0,7.083,2.081,0.0,6.044,0.0,0.132,14.228,13.642,7.386,10.562,0.0,6.0,24.0,below,1,7,7
floor1,boss,act1_candle_king,1,158.0,9.252,2.4,1.732,2.4,0.0,0.011,17.694,15.543,7.386,12.144,22.654,6.0,24.0,within,1,7,7
